時間戳記,分析對象,您/對方的星座,耐性,脾氣暴躁,幼稚,頑固,心思細膩,保守,冷靜,樂觀,活潑,公正,優柔寡斷,強勢,浪漫,過度理想化,斤斤計較,心機重,完美主義,愛計仇,與眾不同,愛面子,有魅力,正義感,重視友情,專情,愛哭,顧家,體貼,情緒化,口才,創意,對表單有什麼建議或想法嗎？,潔癖
2017/12/30 上午 12:43:04,我本人,天蠍座,4,3,2,1,5,1,4,5,5,3,3,4,1,1,2,5,1,5,5,3,4,4,4,5,2,5,5,2,4,5,,3
2017/12/30 上午 12:43:06,我本人,水瓶座,3,3,3,4,5,4,4,3,3,3,3,3,3,2,3,3,4,3,4,3,3,3,2,5,3,5,5,4,4,4,希望能幫助到你，依照我單身20年的經驗自我觀察已經全部傳授給你了，還請善待,4
2017/12/30 上午 12:43:13,我本人,天秤座,3,4,4,4,5,2,3,1,4,4,5,3,2,4,3,5,3,4,3,4,1,4,4,3,2,3,3,4,3,4,,2
2017/12/30 上午 12:43:14,他人,水瓶座,1,5,5,5,1,4,2,3,4,3,4,3,1,1,4,2,4,1,5,5,1,3,5,5,1,3,2,5,1,2,,3
2017/12/30 上午 12:43:17,我本人,天蠍座,3,4,2,3,2,2,4,2,3,3,4,4,2,3,3,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,,4
2017/12/30 上午 12:43:18,我本人,雙魚座,4,3,3,4,4,3,3,3,3,2,4,3,4,4,3,2,4,3,4,4,4,3,4,3,3,3,4,4,3,4,,2
2017/12/30 上午 12:43:23,我本人,雙魚座,1,4,3,4,3,5,3,2,4,3,3,4,4,4,3,5,3,4,4,4,3,3,4,3,4,3,3,4,4,3,,4
2017/12/30 上午 12:43:32,我本人,水瓶座,3,2,5,1,4,2,2,5,5,4,1,3,2,4,2,1,2,1,5,1,4,4,4,5,4,3,2,5,4,5,,3
2017/12/30 上午 12:43:34,我本人,獅子座,3,5,4,3,4,3,3,3,4,4,5,5,4,4,3,3,3,4,3,5,3,4,5,5,5,5,4,5,2,2,其實有些題目要看對象欸😅,4
2017/12/30 上午 12:43:45,我本人,牡羊座,2,2,3,2,3,2,4,5,3,3,3,4,3,3,3,4,4,4,4,5,4,4,4,3,1,5,5,1,5,5,,3
2017/12/30 上午 12:43:47,我本人,獅子座,2,4,3,3,3,4,3,5,4,3,3,4,3,3,3,2,2,2,4,4,4,4,4,5,5,4,4,4,4,4,,3
2017/12/30 上午 12:43:47,我本人,金牛座,2,4,5,3,2,2,1,3,4,3,4,2,5,1,4,3,4,5,5,5,4,3,3,3,5,4,4,4,4,4,,2
2017/12/30 上午 12:43:56,我本人,牡羊座,2,4,3,3,2,3,4,2,3,4,2,4,2,2,3,3,3,3,4,4,1,4,4,5,4,5,4,4,3,3,,4
2017/12/30 上午 12:43:59,我本人,巨蟹座,3,3,3,3,3,2,4,3,3,4,2,3,2,3,3,3,2,2,5,4,2,3,4,4,2,2,2,3,3,2,,3
2017/12/30 上午 12:44:08,我本人,射手座,3,4,3,3,3,2,3,2,2,4,5,5,3,2,3,2,3,4,4,4,3,3,5,5,4,3,3,4,4,3,,3
2017/12/30 上午 12:44:09,我本人,天秤座,4,2,3,3,3,3,4,4,3,4,5,2,2,4,3,3,3,2,3,4,3,4,4,4,5,5,4,4,3,2,,2
2017/12/30 上午 12:44:12,我本人,水瓶座,3,5,5,5,5,1,4,3,3,1,5,3,5,5,3,4,3,5,5,5,3,3,4,5,3,2,5,5,3,5,,3
2017/12/30 上午 12:44:17,他人,巨蟹座,1,5,5,5,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,5,1,5,我都亂填,1
2017/12/30 上午 12:44:17,我本人,天蠍座,2,3,1,1,5,1,4,5,3,3,4,4,3,4,2,3,5,5,3,2,5,3,4,5,3,1,5,2,4,2,,2
2017/12/30 上午 12:44:26,我本人,雙子座,2,4,4,3,4,1,4,5,2,4,4,4,2,2,2,2,1,3,4,4,3,5,5,2,3,2,4,5,5,4,,2
2017/12/30 上午 12:44:26,我本人,雙子座,3,3,2,2,4,3,4,5,4,4,4,3,2,3,3,3,2,4,4,3,4,4,3,3,4,5,3,2,5,3,,1
2017/12/30 上午 12:44:28,我本人,水瓶座,4,4,3,4,4,5,4,5,4,4,4,4,3,5,4,2,5,1,5,4,4,4,5,5,3,3,4,5,3,5,,2
2017/12/30 上午 12:44:40,我本人,金牛座,3,5,1,5,5,5,5,2,2,3,4,5,1,1,4,1,4,4,3,4,3,5,4,5,4,5,4,2,5,2,,4
2017/12/30 上午 12:44:42,他人,摩羯座,5,2,3,3,5,3,5,3,3,4,1,3,2,1,2,3,5,3,3,2,4,3,4,5,1,5,5,1,4,3,,3
2017/12/30 上午 12:44:46,我本人,天蠍座,3,4,3,3,5,1,3,2,4,3,3,3,3,3,3,3,2,5,3,4,4,4,3,4,5,5,4,4,3,4,,3
2017/12/30 上午 12:44:59,我本人,摩羯座,4,2,1,4,4,3,5,1,1,5,2,3,1,1,3,4,3,5,5,2,2,4,5,5,2,5,4,2,3,5,,4
2017/12/30 上午 12:45:04,我本人,雙魚座,3,2,3,3,4,3,2,2,2,3,4,2,5,5,3,2,4,4,3,4,3,2,4,4,5,4,4,4,2,3,,2
2017/12/30 上午 12:45:08,我本人,天蠍座,2,2,1,5,3,2,2,2,4,4,3,4,5,3,2,4,4,5,5,5,4,3,4,5,4,4,3,4,4,3,,1
2017/12/30 上午 12:45:25,我本人,摩羯座,2,3,4,3,3,3,3,5,4,4,5,3,1,5,3,1,3,2,2,5,2,5,5,5,5,5,4,1,3,1,沒有,3
2017/12/30 上午 12:45:26,我本人,處女座,2,4,3,4,3,5,3,1,5,3,4,4,4,4,4,1,5,3,5,5,4,4,4,3,3,2,3,2,2,4,,2
2017/12/30 上午 12:45:29,我本人,射手座,2,4,3,1,3,2,4,4,3,4,2,4,3,2,2,3,2,2,4,4,4,4,4,4,4,2,4,3,4,4,,2
2017/12/30 上午 12:45:31,我本人,巨蟹座,3,3,4,4,4,3,2,2,3,4,4,3,3,3,4,2,2,2,4,3,2,3,3,4,5,4,4,5,3,2,,2
2017/12/30 上午 12:45:33,我本人,水瓶座,1,5,1,3,2,4,4,1,1,5,3,3,3,2,1,1,3,1,5,3,5,4,5,5,3,3,3,4,4,5,,2
2017/12/30 上午 12:45:33,我本人,摩羯座,5,3,3,3,3,3,3,4,4,4,3,3,4,3,2,2,3,3,3,3,3,4,4,5,3,4,4,2,3,3,,3
2017/12/30 上午 12:45:42,我本人,雙魚座,4,3,3,3,4,3,4,2,2,4,5,2,5,4,3,3,5,4,2,3,3,4,4,4,4,4,5,3,3,3,,3
2017/12/30 上午 12:46:13,我本人,雙子座,3,3,3,3,3,3,1,3,5,4,4,4,5,4,3,2,4,4,4,5,4,4,4,4,5,5,5,5,4,4,,3
2017/12/30 上午 12:46:19,我本人,巨蟹座,5,2,3,4,4,3,2,4,3,3,4,2,3,2,2,2,3,2,2,3,2,4,4,5,3,5,4,2,3,2,,4
2017/12/30 上午 12:46:20,我本人,水瓶座,3,3,2,3,3,3,4,4,3,4,2,3,3,1,3,3,3,2,3,4,2,4,4,4,4,4,4,3,4,4,,3
2017/12/30 上午 12:46:21,他人,牡羊座,3,2,2,4,4,3,4,3,3,2,1,3,2,4,2,2,2,2,4,5,4,3,4,3,2,4,3,2,4,3,,2
2017/12/30 上午 12:46:25,我本人,射手座,4,3,3,3,4,4,3,4,3,3,4,1,4,4,1,3,2,2,1,2,2,2,4,4,3,3,4,2,2,2,,4
2017/12/30 上午 12:46:27,他人,摩羯座,5,1,3,1,1,5,5,2,5,2,1,5,3,1,1,1,3,2,5,5,5,3,4,5,4,5,3,2,2,5,,4
2017/12/30 上午 12:46:30,我本人,雙子座,2,3,4,2,3,3,4,3,5,2,4,3,5,4,3,3,1,1,3,4,3,3,5,4,4,3,3,5,5,5,,3
2017/12/30 上午 12:46:31,我本人,巨蟹座,1,4,4,3,2,2,3,3,3,4,5,5,3,1,5,4,1,5,5,3,3,3,4,4,3,2,2,5,2,4,,3
2017/12/30 上午 12:46:38,我本人,天秤座,2,2,4,2,4,3,3,2,3,3,4,4,3,3,3,4,4,4,3,4,3,4,4,4,3,4,4,3,4,3,,3
2017/12/30 上午 12:46:39,我本人,雙魚座,3,1,5,4,4,3,2,3,5,4,5,1,5,5,2,2,3,2,3,3,4,5,5,5,5,5,5,5,4,4,,4
2017/12/30 上午 12:46:45,我本人,金牛座,5,3,1,5,5,3,4,3,3,3,5,3,2,2,4,2,5,5,3,3,2,3,4,5,1,5,4,3,4,3,,5
2017/12/30 上午 12:46:49,我本人,天蠍座,2,4,2,5,4,3,3,2,4,4,3,4,3,3,3,4,4,5,4,4,4,4,4,4,4,3,4,5,4,4,,3
2017/12/30 上午 12:46:54,我本人,雙魚座,5,2,4,4,4,3,2,3,3,4,5,1,4,3,4,3,2,2,5,4,3,4,4,4,4,4,4,4,2,2,我覺得可以分一下年齡層😀😀,1
2017/12/30 上午 12:46:55,我本人,射手座,2,4,3,3,2,4,2,2,3,3,5,2,3,3,4,2,3,2,4,4,3,4,4,5,5,4,3,4,3,2,,2
2017/12/30 上午 12:46:55,我本人,雙子座,2,3,3,3,2,2,3,3,4,3,4,3,3,3,3,4,4,3,3,4,4,3,5,4,3,3,3,3,4,4,選3是因為我們雙子就是有兩個極端害我不知道怎麼選啦😭,4
2017/12/30 上午 12:47:04,我本人,天蠍座,3,3,2,4,2,4,4,3,2,4,4,3,2,2,3,3,4,4,3,4,3,4,4,4,1,2,3,2,2,2,,5
2017/12/30 上午 12:47:04,他人,水瓶座,3,2,4,5,2,1,5,4,4,5,1,4,2,1,2,3,5,4,5,5,4,3,4,5,1,4,2,2,5,3,,3
2017/12/30 上午 12:47:07,他人,天蠍座,4,4,3,2,4,2,4,2,3,3,3,3,4,3,2,2,3,2,4,3,4,3,3,5,2,4,4,2,4,3,,4
2017/12/30 上午 12:47:08,我本人,水瓶座,2,3,4,2,4,2,2,4,4,4,4,2,4,4,2,3,3,2,4,3,4,4,5,5,3,3,4,3,4,4,,2
2017/12/30 上午 12:47:11,我本人,巨蟹座,2,4,3,3,3,3,2,2,2,3,5,4,2,4,3,2,3,2,4,4,2,3,4,3,4,4,3,5,2,2,👍🏻,3
2017/12/30 上午 12:47:11,我本人,金牛座,5,3,1,3,3,1,5,3,4,3,5,3,1,1,1,2,4,3,5,2,4,5,4,2,1,5,5,3,4,1,,3
2017/12/30 上午 12:47:13,我本人,射手座,4,3,3,3,4,4,3,4,3,3,4,1,4,4,1,3,2,2,1,2,2,2,4,4,3,3,4,2,2,2,,4
2017/12/30 上午 12:47:16,我本人,天蠍座,3,4,4,3,4,4,3,3,4,4,4,3,2,2,3,3,2,2,3,4,4,4,3,5,5,5,4,5,3,3,,3
2017/12/30 上午 12:47:18,我本人,處女座,4,2,5,3,5,3,4,4,2,5,5,1,1,3,3,2,5,3,3,3,2,4,5,5,1,4,4,1,2,4,沒有,5
2017/12/30 上午 12:47:21,我本人,巨蟹座,2,4,2,3,3,2,2,2,3,5,5,4,5,5,2,2,2,4,2,3,4,4,5,5,5,5,4,5,2,3,,1
2017/12/30 上午 12:47:26,我本人,牡羊座,2,4,5,4,3,2,2,4,4,3,4,3,3,2,3,2,4,2,3,5,4,4,4,4,2,3,3,4,3,3,,4
2017/12/30 上午 12:47:26,我本人,金牛座,4,2,1,5,4,4,4,2,2,4,1,4,2,1,3,1,3,5,4,3,4,4,4,5,4,5,5,1,4,1,,2
2017/12/30 上午 12:47:28,我本人,天蠍座,4,3,3,4,5,4,3,3,3,3,3,3,3,3,4,2,4,3,4,4,3,4,5,5,2,3,3,3,3,4,,4
2017/12/30 上午 12:47:38,我本人,巨蟹座,2,4,3,3,3,3,2,2,2,3,5,4,2,4,3,2,3,2,4,4,2,3,4,3,4,4,3,5,2,2,👍🏻,3
2017/12/30 上午 12:47:45,我本人,金牛座,4,1,4,4,3,3,4,5,5,4,2,3,3,3,2,1,3,1,4,3,3,4,4,4,4,4,4,2,3,4,,3
2017/12/30 上午 12:47:48,他人,摩羯座,3,4,2,4,3,3,3,4,4,3,3,4,1,1,2,3,2,3,3,4,2,2,4,4,2,3,3,3,4,3,,3
2017/12/30 上午 12:47:51,我本人,處女座,4,4,1,4,5,3,5,2,3,5,4,3,3,3,2,1,5,4,5,3,4,5,5,5,1,5,5,3,5,3,,4
2017/12/30 上午 12:47:54,我本人,巨蟹座,3,2,2,3,4,3,3,1,2,5,5,3,1,2,2,1,5,1,3,4,1,5,4,5,5,5,3,5,3,4,,5
2017/12/30 上午 12:47:59,我本人,巨蟹座,4,3,5,3,4,4,2,2,3,3,4,4,4,5,3,4,2,4,5,4,2,4,5,4,3,5,4,4,4,3,,2
2017/12/30 上午 12:48:00,我本人,射手座,3,4,4,2,4,2,1,3,4,4,3,3,4,2,2,1,2,4,3,4,3,4,5,3,4,5,5,5,4,3,,4
2017/12/30 上午 12:48:01,我本人,水瓶座,3,4,2,2,2,1,1,1,4,5,2,3,3,5,1,1,3,4,1,5,1,5,5,2,5,5,3,5,3,3,,5
2017/12/30 上午 12:48:04,我本人,巨蟹座,3,4,3,2,3,1,5,5,5,4,2,3,3,2,3,2,2,5,5,2,5,5,5,5,5,5,5,4,5,5,,2
2017/12/30 上午 12:48:06,我本人,雙子座,2,4,4,4,4,3,2,4,4,4,4,4,4,4,2,1,2,3,3,3,3,3,4,4,3,3,5,4,3,4,,2
2017/12/30 上午 12:48:08,我本人,天蠍座,3,4,3,5,4,3,3,3,5,3,4,3,2,2,3,4,3,2,2,4,3,2,4,4,4,5,4,4,5,5,,3
2017/12/30 上午 12:48:09,我本人,水瓶座,2,4,4,3,4,2,3,2,3,3,5,4,3,3,1,3,4,3,5,4,4,5,5,5,4,4,4,4,5,5,,3
2017/12/30 上午 12:48:13,我本人,處女座,3,3,3,4,5,4,4,2,2,4,4,4,4,3,2,3,3,2,3,3,3,4,4,5,4,4,5,5,4,4,,3
2017/12/30 上午 12:48:14,我本人,射手座,2,3,2,2,3,2,3,4,3,4,3,3,1,3,1,1,4,2,4,3,2,4,4,5,4,3,4,4,4,3,,3
2017/12/30 上午 12:48:14,我本人,獅子座,2,5,3,2,4,4,4,1,3,3,3,4,4,4,4,2,2,4,4,4,2,4,5,4,4,2,3,4,2,3,,2
2017/12/30 上午 12:48:16,我本人,巨蟹座,3,3,3,3,3,3,3,3,3,3,4,2,3,3,2,2,2,2,3,3,3,3,4,4,3,3,4,4,3,3,,3
2017/12/30 上午 12:48:19,他人,水瓶座,2,4,4,4,4,2,4,3,2,2,2,4,2,2,4,4,4,2,4,4,4,4,4,2,2,3,3,2,4,4,,2
2017/12/30 上午 12:48:23,我本人,巨蟹座,2,4,5,2,4,2,2,1,5,4,5,2,4,5,1,3,2,2,5,2,3,4,4,4,5,5,4,5,3,4,,2
2017/12/30 上午 12:48:29,我本人,射手座,3,4,5,3,4,3,4,3,5,3,4,3,5,3,1,1,5,1,3,3,3,5,5,5,5,3,5,5,5,5,,4
2017/12/30 上午 12:48:29,我本人,天秤座,4,3,4,3,3,4,5,3,5,5,5,1,4,2,3,1,4,2,4,3,2,4,5,5,3,2,4,3,2,4,,4
2017/12/30 上午 12:48:30,我本人,雙魚座,3,3,3,2,5,4,4,4,4,3,4,3,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,,3
2017/12/30 上午 12:48:33,我本人,射手座,3,2,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,3,3,3,4,4,4,1,3,3,2,3,3,,3
2017/12/30 上午 12:48:35,他人,天蠍座,4,2,2,4,5,3,5,1,2,5,1,4,4,1,1,5,4,3,4,5,3,3,5,5,1,5,4,2,5,3,,4
2017/12/30 上午 12:48:39,我本人,摩羯座,3,3,3,4,3,5,3,4,3,4,4,2,3,3,3,1,4,3,3,3,2,3,4,5,5,3,4,3,3,3,,3
2017/12/30 上午 12:48:41,我本人,牡羊座,2,3,3,3,3,2,3,2,4,4,4,3,4,3,2,1,1,3,3,5,2,5,5,5,3,5,5,3,4,3,,3
2017/12/30 上午 12:48:42,我本人,射手座,2,4,2,3,3,2,4,4,4,2,5,4,3,4,4,4,2,2,3,5,3,4,4,5,4,4,4,3,5,5,,4
2017/12/30 上午 12:48:43,我本人,處女座,1,4,4,4,4,2,4,5,3,4,3,3,3,4,4,4,4,4,4,5,3,3,5,5,3,3,3,3,3,3,,3
2017/12/30 上午 12:48:48,我本人,雙魚座,4,2,4,3,4,2,4,3,3,2,4,4,4,2,2,4,4,3,5,2,2,3,5,5,2,4,5,3,4,4,,4
2017/12/30 上午 12:48:53,我本人,巨蟹座,4,3,4,4,2,3,3,2,3,4,5,2,3,2,4,4,2,5,4,4,3,4,3,4,5,4,4,4,3,3,,2
2017/12/30 上午 12:48:53,我本人,雙魚座,3,3,2,1,5,3,3,5,5,4,4,4,5,5,2,4,4,1,5,4,4,4,4,5,5,5,5,2,5,3,,4
2017/12/30 上午 12:48:53,我本人,雙子座,2,3,4,3,3,3,3,4,4,3,5,3,3,4,3,3,3,3,3,5,3,3,4,4,5,3,3,5,3,2,,3
2017/12/30 上午 12:48:55,我本人,雙魚座,3,3,3,4,4,4,3,3,3,4,2,2,4,2,3,3,4,4,4,3,4,4,4,5,4,4,4,3,3,3,,4
2017/12/30 上午 12:49:02,我本人,天秤座,4,3,3,3,2,1,3,3,4,3,4,3,3,2,3,4,2,4,3,4,3,3,5,5,2,4,4,4,3,3,,4
2017/12/30 上午 12:49:07,他人,射手座,3,1,2,3,1,2,4,4,5,3,3,3,5,3,2,2,1,2,4,3,5,3,5,2,3,1,5,3,3,3,,3
2017/12/30 上午 12:49:17,他人,雙子座,3,2,2,2,2,3,4,4,4,3,4,2,1,1,5,2,2,2,5,5,4,3,5,5,2,4,3,4,3,4,,2
2017/12/30 上午 12:49:24,我本人,射手座,3,4,5,2,3,3,3,4,5,3,5,3,3,2,3,2,1,1,5,4,4,4,5,5,2,1,3,3,4,3,,2
2017/12/30 上午 12:49:33,我本人,天蠍座,1,3,2,3,4,2,3,4,3,3,4,3,4,3,2,3,4,4,3,4,4,3,4,3,2,3,4,4,2,3,,4
2017/12/30 上午 12:49:37,我本人,處女座,3,4,3,5,5,2,3,1,2,4,4,3,5,2,3,4,5,5,2,4,3,4,5,5,3,4,5,5,2,2,,5
2017/12/30 上午 12:49:39,我本人,牡羊座,3,2,3,1,3,2,3,4,4,5,5,3,3,2,3,3,2,1,4,3,3,3,3,5,1,2,2,3,3,3,,3
2017/12/30 上午 12:49:41,我本人,牡羊座,2,4,3,3,2,1,4,3,4,3,4,5,3,1,4,1,3,1,4,5,4,4,5,5,3,3,1,2,4,2,無,1
2017/12/30 上午 12:49:42,我本人,射手座,2,2,5,4,3,4,5,2,3,4,5,3,3,5,2,4,4,5,2,5,2,3,5,4,2,2,2,3,5,5,,3
2017/12/30 上午 12:49:49,我本人,水瓶座,4,4,3,4,3,3,3,3,3,3,4,4,2,3,2,3,3,3,3,3,3,3,4,4,4,1,4,4,4,3,,2
2017/12/30 上午 12:49:58,我本人,處女座,5,1,2,2,4,3,4,2,2,4,2,4,2,3,2,2,4,3,4,3,3,5,4,4,4,3,3,2,5,4,,3
2017/12/30 上午 12:50:03,我本人,天秤座,3,1,2,2,2,2,3,2,4,4,4,3,2,3,3,3,3,2,2,4,4,5,5,4,3,4,4,2,5,4,,3
2017/12/30 上午 12:50:04,我本人,天蠍座,2,2,2,1,2,3,4,4,3,4,4,4,2,2,3,4,3,2,4,5,2,5,3,4,3,4,3,3,3,5,,3
2017/12/30 上午 12:50:08,我本人,天秤座,2,3,4,4,5,4,4,3,4,5,5,4,5,4,3,2,5,4,5,5,5,5,5,5,4,5,5,4,5,4,,5
2017/12/30 上午 12:50:09,我本人,金牛座,3,3,3,4,5,4,4,3,3,5,4,3,4,3,2,2,3,3,4,3,3,4,5,5,4,4,4,4,3,3,加油,3
2017/12/30 上午 12:50:11,我本人,牡羊座,3,3,3,3,2,3,3,3,3,2,2,3,2,2,4,2,2,3,3,3,1,2,4,3,3,3,2,4,2,3,沒有,1
2017/12/30 上午 12:50:17,我本人,射手座,3,3,3,4,4,4,3,4,4,4,5,3,4,3,3,2,3,2,4,4,3,4,5,3,4,3,4,3,2,3,,3
2017/12/30 上午 12:50:19,我本人,天蠍座,1,3,2,3,4,2,3,4,3,3,4,3,4,3,2,3,4,4,3,4,4,3,4,3,2,3,4,4,2,3,,4
2017/12/30 上午 12:50:23,我本人,牡羊座,3,3,3,3,2,3,2,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,5,5,4,4,4,4,4,,3
2017/12/30 上午 12:50:28,我本人,雙子座,2,4,3,4,3,3,3,3,4,3,4,3,3,2,3,3,3,3,4,4,3,3,4,4,3,3,4,3,4,3,無,4
2017/12/30 上午 12:50:37,我本人,摩羯座,3,3,5,3,4,4,3,5,4,2,2,2,3,5,3,3,2,4,3,3,3,3,4,5,4,4,4,4,4,4,,2
2017/12/30 上午 12:50:37,我本人,巨蟹座,1,4,4,3,2,3,3,2,4,3,5,4,3,2,3,2,2,3,4,4,4,4,5,4,2,3,2,4,4,5,,4
2017/12/30 上午 12:50:38,我本人,天秤座,3,3,4,4,4,3,3,4,5,3,3,4,3,3,3,2,4,3,3,3,4,4,4,3,3,3,5,4,4,5,,3
2017/12/30 上午 12:50:41,我本人,牡羊座,2,5,4,2,4,3,2,4,3,4,5,4,4,3,2,4,4,3,2,5,4,4,5,4,4,4,4,5,4,4,,4
2017/12/30 上午 12:50:48,我本人,處女座,4,1,4,4,2,5,3,3,3,3,5,2,3,3,2,2,3,3,3,3,1,3,5,3,2,4,3,2,2,2,,3
2017/12/30 上午 12:50:55,我本人,射手座,3,3,3,4,4,4,3,4,4,4,5,3,4,3,3,2,3,2,4,4,3,4,5,3,4,3,4,3,2,3,,3
2017/12/30 上午 12:51:00,他人,雙子座,3,2,4,3,3,3,4,2,3,3,4,3,3,3,1,1,1,1,3,4,3,3,4,3,1,3,4,3,3,3,,2
2017/12/30 上午 12:51:05,我本人,牡羊座,2,4,4,3,3,3,2,3,4,3,2,4,3,4,3,3,5,3,4,5,3,5,5,3,5,3,3,4,4,4,,2
2017/12/30 上午 12:51:08,我本人,獅子座,3,3,4,2,3,2,4,4,3,4,2,3,3,4,1,1,2,2,3,5,4,4,4,4,4,3,3,3,4,3,,3
2017/12/30 上午 12:51:08,我本人,射手座,4,2,3,2,3,3,5,4,3,4,4,3,4,2,2,2,2,3,4,4,3,3,4,5,4,4,3,2,4,4,,3
2017/12/30 上午 12:51:14,我本人,水瓶座,3,3,3,3,5,1,3,1,5,5,5,3,2,5,1,5,3,4,5,5,3,5,5,5,5,3,5,5,4,5,表面跟心理層面不同,3
2017/12/30 上午 12:51:24,我本人,獅子座,3,3,2,1,3,3,4,2,3,4,1,2,4,2,2,1,1,2,2,5,4,5,5,5,4,5,3,2,4,3,,4
2017/12/30 上午 12:51:28,我本人,雙魚座,4,2,3,1,5,3,4,2,3,3,4,4,4,5,2,3,4,1,4,4,3,3,4,5,4,3,5,4,3,5,,3
2017/12/30 上午 12:51:32,我本人,雙魚座,2,2,4,3,5,4,2,3,4,3,5,4,5,4,2,4,4,1,3,4,4,4,4,2,5,4,5,5,3,2,,2
2017/12/30 上午 12:51:32,我本人,牡羊座,1,4,3,3,1,3,1,5,5,3,5,5,5,2,2,1,3,1,5,1,3,5,5,4,5,4,5,5,4,3,,2
2017/12/30 上午 12:51:35,我本人,射手座,4,3,3,1,3,3,3,3,3,3,5,3,3,3,2,3,3,2,3,2,1,3,3,4,4,4,4,2,3,2,,3
2017/12/30 上午 12:51:40,我本人,天秤座,2,3,2,1,4,1,3,5,5,4,5,5,2,3,2,4,2,1,5,3,4,5,5,4,2,3,5,4,5,5,酷,3
2017/12/30 上午 12:51:44,我本人,水瓶座,2,3,3,3,3,4,3,3,4,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,5,3,3,4,3,3,,1
2017/12/30 上午 12:51:45,我本人,牡羊座,1,4,3,3,1,3,1,5,5,3,5,5,5,2,2,1,3,1,5,1,3,5,5,4,5,4,5,5,4,3,,2
2017/12/30 上午 12:51:54,我本人,雙子座,2,4,3,2,2,2,2,4,4,3,4,2,3,3,3,3,2,3,3,2,2,4,4,4,4,2,4,4,4,4,,2
2017/12/30 上午 12:51:58,我本人,天蠍座,3,4,1,3,5,4,5,1,1,2,5,3,4,3,5,3,4,5,3,3,3,4,3,2,3,1,3,5,2,3,ㄎㄎ,3
2017/12/30 上午 12:51:58,我本人,摩羯座,4,3,2,2,4,3,2,3,4,3,4,3,2,2,4,2,4,3,3,5,4,3,3,4,5,3,4,4,2,4,,4
2017/12/30 上午 12:51:59,我本人,金牛座,3,2,3,3,3,4,4,2,2,4,4,2,2,2,3,3,2,2,2,4,2,3,3,4,3,3,3,3,2,2,,4
2017/12/30 上午 12:52:06,我本人,獅子座,4,3,4,3,4,3,4,4,3,3,4,4,3,3,4,4,5,4,4,4,4,4,3,3,3,4,4,3,4,3,,4
2017/12/30 上午 12:52:11,我本人,牡羊座,2,4,4,3,4,2,2,5,4,3,3,4,3,2,2,3,3,1,5,4,4,3,5,5,4,4,4,3,4,4,,3
2017/12/30 上午 12:52:12,我本人,水瓶座,3,2,4,2,3,3,4,5,4,3,5,2,3,4,3,1,3,1,3,3,3,3,4,5,3,4,4,4,2,2,,3
2017/12/30 上午 12:52:24,我本人,雙魚座,3,3,1,2,5,2,3,3,4,3,2,5,4,4,2,2,2,1,3,4,4,3,5,4,5,3,3,4,5,1,,2
2017/12/30 上午 12:52:26,我本人,摩羯座,4,2,2,4,4,4,5,5,2,5,2,3,2,2,4,2,3,4,3,4,3,4,3,4,2,4,3,2,2,2,,3
2017/12/30 上午 12:52:27,我本人,處女座,4,2,3,3,4,3,3,4,3,3,4,2,3,4,2,2,4,2,4,4,4,3,4,3,2,2,4,3,3,4,,3
2017/12/30 上午 12:52:28,我本人,牡羊座,2,4,5,3,5,2,3,5,5,3,4,5,3,3,3,3,5,3,5,3,5,5,4,3,3,3,4,3,3,3,,3
2017/12/30 上午 12:52:30,他人,射手座,1,5,5,2,1,1,1,5,5,3,1,5,1,3,4,1,1,1,5,1,4,5,5,2,4,1,2,5,1,4,無,5
2017/12/30 上午 12:52:33,我本人,水瓶座,3,3,2,2,2,2,3,3,4,4,4,4,3,2,2,3,4,2,4,3,4,4,4,5,4,3,4,4,3,5,,2
2017/12/30 上午 12:52:41,他人,金牛座,5,2,5,4,4,3,5,4,4,3,2,3,1,2,2,3,4,2,3,3,4,3,4,5,2,4,4,2,5,4,,3
2017/12/30 上午 12:52:41,他人,雙子座,5,2,3,4,3,2,4,3,4,3,4,2,3,3,3,2,3,2,4,5,4,3,4,3,2,4,3,4,4,5,,3
2017/12/30 上午 12:52:42,我本人,牡羊座,2,4,4,4,4,4,4,3,3,4,2,3,4,2,4,1,2,2,3,4,2,4,5,4,2,3,3,2,3,4,,2
2017/12/30 上午 12:52:44,我本人,水瓶座,2,4,4,4,5,2,5,4,4,4,5,4,2,2,4,4,4,4,5,5,3,4,4,5,4,5,4,4,3,5,,4
2017/12/30 上午 12:52:45,我本人,摩羯座,3,4,4,4,4,2,3,3,4,4,3,4,4,2,2,1,3,3,3,4,5,4,4,5,4,4,4,3,3,4,,4
2017/12/30 上午 12:52:50,我本人,巨蟹座,4,2,2,2,4,2,3,3,4,4,3,4,3,2,1,1,2,2,4,2,3,4,5,5,2,4,5,4,4,3,,2
2017/12/30 上午 12:52:57,他人,射手座,4,3,5,3,4,3,4,2,4,4,4,3,4,3,2,2,3,2,3,3,3,4,4,4,3,3,4,2,4,3,,4
